id,vertex_index,distance,angle,x,y
2,19,0.001891798,292.0603025,100.5389469,5.253939894
2,20,0.001983779,338.1332831,100.5389086,5.254023526
2,21,0.0020883,285.0358569,100.5388744,5.254122273
2,22,0.002185461,198.5553,100.5388008,5.254058793
2,23,0.002286449,237.5449747,100.538822,5.253960046
2,24,0.002433161,248.3669202,100.5387051,5.254048717
2,25,0.002542491,229.4452954,100.538687,5.253940902
2,26,0.00263016,269.3414568,100.5385993,5.253939894
3,0,0,218.2110254,100.5390779,5.253877421
3,1,0.000120544,154.6170278,100.5390034,5.253782705
3,2,0.000233416,165.2436005,100.5391162,5.25378069
3,3,0.000337534,167.657113,100.5390265,5.25372779
3,4,0.000461107,167.9955195,100.5391495,5.253715195
3,5,0.000586587,210.6433733,100.5390406,5.253652722
3,6,0.00068737,134.5252551,100.5390386,5.25355196
3,7,0.00077005,50.73759091,100.5391212,5.253554983
3,8,0.00083017,67.67884375,100.5391354,5.253613425
3,9,0.000914335,103.1298565,100.5392069,5.25356909
3,10,0.001039864,84.79928171,100.5393318,5.253581181
3,11,0.001170319,83.7657301,100.5394618,5.253592265
3,12,0.001277055,53.2754493,100.5395676,5.253606372
3,13,0.001405146,317.7619813,100.53962,5.253723256
3,14,0.001502968,253.7937769,100.5395273,5.253692019
3,15,0.001617096,323.5350124,100.5394165,5.253664814
3,16,0.001713349,33.86539467,100.5394658,5.253747438
3,17,0.001804035,40.22481605,100.5395203,5.253819987
3,18,0.001890273,357.4375535,100.5395797,5.25388246
3,19,0.001989518,289.3314688,100.5395051,5.253947955
3,20,0.002077273,206.5907213,100.5394175,5.253943924
3,21,0.002141832,187.4867599,100.5394538,5.253890521
3,22,0.002220413,212.283673,100.5393943,5.253839132
3,23,0.002353152,222.2022405,100.539359,5.253711164
3,24,0.002474037,320.5446843,100.5392462,5.253667836
3,25,0.002614382,11.36304069,100.5393208,5.253786736
3,26,0.002713442,282.7478431,100.5393046,5.253884475
3,27,0.002822735,266.6918248,100.5392422,5.253794797
3,28,0.002915535,318.5214534,100.5391807,5.253864322
4,0,0,322.7791372,100.5391535,5.253972138
4,1,0.000131598,321.4107941,100.5390739,5.25407693
4,2,0.000228874,343.0115253,100.5390114,5.254151494
4,3,0.000335253,76.145266,100.5390225,5.254257294
4,4,0.00044061,89.04542378,100.5390809,5.254169631
4,5,0.000549662,92.02632883,100.5391384,5.254262332
4,6,0.000638453,99.07657329,100.5391797,5.254183738
4,7,0.000731088,92.93757399,100.5392462,5.254248226
4,8,0.000804755,94.8146037,100.5392935,5.254191799
